,starting_Datetime,ending_Datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_Datetime,cme_angle,CPA_Is_Halo,cme_width,Width_IS_lower_bound,cme_speed,Row description
0,1997-04-01 14:00:00,1997-04-01 14:00:00,8000,4000,S25E16,8026,M1.3,1997-04-01 15:18:00,74,False,79,False,312,NaN
1,1997-04-07 14:30:00,1997-04-07 14:30:00,11000,1000,S28E19,8027,C6.8,1997-04-07 14:27:00,NA,True,360,False,878,NaN
2,1997-05-12 05:15:00,1997-05-12 05:15:00,12000,80,N21W08,8038,C1.3,1997-05-12 05:30:00,NA,True,360,False,464,NaN
3,1997-05-21 20:20:00,1997-05-21 20:20:00,5000,500,N05W12,8040,M1.3,1997-05-21 21:00:00,263,False,165,False,296,NaN
4,1997-09-23 21:53:00,1997-09-23 21:53:00,6000,2000,S29E25,8088,C1.4,1997-09-23 22:02:00,133,False,155,False,712,NaN
5,1997-11-03 05:15:00,1997-11-03 05:15:00,14000,250,S20W13,8100,C8.6,1997-11-03 05:28:00,240,False,109,False,227,NaN
6,1997-11-03 10:30:00,1997-11-03 10:30:00,14000,5000,S16W21,8100,M4.2,1997-11-03 11:11:00,233,False,122,False,352,NaN
7,1997-11-04 06:00:00,1997-11-04 06:00:00,14000,100,S14W33,8100,X2.1,1997-11-04 06:10:00,NA,True,360,False,785,NaN
8,1997-11-06 12:20:00,1997-11-06 12:20:00,14000,100,S18W63,8100,X9.4,1997-11-06 12:10:00,NA,True,360,False,1556,NaN
9,1997-11-27 13:30:00,1997-11-27 13:30:00,14000,7000,N17E63,8113,X2.6,1997-11-27 13:56:00,98,False,91,False,441,NaN
10,1997-12-12 22:45:00,1997-12-12 22:45:00,14000,8000,N25W52,8116,B9.4,1997-12-13 00:26:00,278,False,73,False,191,NaN
11,1998-01-25 15:03:00,1998-01-25 15:03:00,14000,10000,N21E25,8141,C1.1,1998-01-25 15:26:00,NA,True,360,False,693,NaN
12,1998-03-29 03:40:00,1998-03-29 03:40:00,14000,7000,SW90,NaN,NaN,1998-03-29 03:48:00,NA,True,360,False,1397,NaN
13,1998-04-20 10:25:00,1998-04-20 10:25:00,10000,35,S22W90,8194,M1.4,1998-04-20 10:07:00,284,False,165,False,1863,NaN
14,1998-04-23 06:00:00,1998-04-23 06:00:00,14000,200,S17E90,8210,X1.2,1998-04-23 05:55:00,NA,True,360,False,1691,NaN
15,1998-04-24 09:17:00,1998-04-24 09:17:00,4700,2600,S10E90,8210,C8.9,1998-04-24 08:55:00,100,False,84,False,1184,uncertain
16,1998-04-27 09:20:00,1998-04-27 09:20:00,10000,1000,S16E50,8210,X1.0,1998-04-27 08:56:00,NA,True,360,False,1385,NaN
17,1998-04-29 16:30:00,1998-04-29 16:30:00,10000,2000,S18E20,8210,M6.8,1998-04-29 16:58:00,NA,True,360,False,1374,NaN
18,1998-05-02 14:25:00,1998-05-02 14:25:00,5000,3000,S15W15,8210,X1.1,1998-05-02 14:06:00,NA,True,360,False,938,NaN
19,1998-05-06 08:25:00,1998-05-06 08:25:00,14000,5000,S11W65,8210,X2.7,1998-05-06 08:29:00,309,False,190,False,1099,NaN
20,1998-05-09 03:35:00,1998-05-09 03:35:00,9000,400,S14W89,8210,M7.7,1998-05-09 03:35:00,262,False,178,False,2331,NaN
21,1998-05-11 21:40:00,1998-05-11 21:40:00,10000,1000,N32W90,8214,B6.6,1998-05-11 21:55:00,208,False,301,True,830,NaN
22,1998-05-19 10:00:00,1998-05-19 10:00:00,14000,3000,N29W46,8222,B7.9,1998-05-19 10:27:00,268,False,139,False,801,NaN
23,1998-05-27 13:30:00,1998-05-27 13:30:00,4000,1000,N19W62,8226,C7.5,1998-05-27 13:45:00,175,False,268,False,878,NaN
24,1998-06-11 10:15:00,1998-06-11 10:15:00,8000,4000,N16E86,8243,M1.4,1998-06-11 10:28:00,123,False,177,False,1223,NaN
25,1998-06-16 18:20:00,1998-06-16 18:20:00,12000,50,S22W90,8232,M1.0,1998-06-16 18:27:00,341,False,281,False,1484,NaN
26,1998-06-20 19:39:00,1998-06-20 19:39:00,2600,1800,NaN,NaN,NaN,1998-06-20 18:20:00,NA,True,360,False,964,uncertain
27,1998-06-22 07:15:00,1998-06-22 07:15:00,6000,2000,N16W46,8243,C2.9,1998-06-22 05:01:00,265,False,59,False,206,NaN
28,1998-11-02 14:00:00,1998-11-02 14:00:00,14000,4000,S25E47,8373,C4.4,1998-11-02 14:18:00,116,False,169,False,661,NaN
29,1998-11-05 22:00:00,1998-11-05 22:00:00,5000,50,N22W18,8375,M8.4,1998-11-05 20:44:00,NA,True,360,False,1118,NaN
30,1998-11-06 03:00:00,1998-11-06 03:00:00,5000,1000,NaN,NaN,NaN,1998-11-06 02:18:00,159,False,160,True,405,NaN
31,1998-11-07 00:20:00,1998-11-07 00:20:00,14000,6000,NE90b,NaN,C1.0,1998-11-07 01:54:00,296,False,19,False,381,NaN
32,1998-11-08 11:20:00,1998-11-08 11:20:00,10000,8000,S21W37,NaN,C5.9,1998-11-08 11:54:00,264,False,196,False,559,NaN
33,1998-12-18 17:50:00,1998-12-18 17:50:00,14000,5000,N19E64,8415,M8.0,1998-12-18 18:09:00,NA,True,360,False,1749,NaN
34,1999-04-24 13:50:00,1999-04-24 13:50:00,3700,1500,NW90b,NaN,NaN,1999-04-24 13:31:00,NA,True,360,False,1495,NaN
35,1999-05-03 05:50:00,1999-05-03 05:50:00,8000,200,N15E32,8525,M4.4,1999-05-03 06:06:00,NA,True,360,False,1584,NaN
36,1999-05-27 10:55:00,1999-05-27 10:55:00,14000,70,W90b,NaN,NaN,1999-05-27 11:06:00,NA,True,360,False,1691,NaN
37,1999-06-01 18:50:00,1999-06-01 18:50:00,14000,400,NW90b,NaN,NaN,1999-06-01 19:37:00,NA,True,360,False,1772,NaN
38,1999-06-04 07:05:00,1999-06-04 07:05:00,14000,60,N17W69,8552,M3.9,1999-06-04 07:26:00,289,False,150,False,2230,NaN
39,1999-06-11 11:45:00,1999-06-11 11:45:00,14000,400,N38E90,NaN,C8.8,1999-06-11 11:26:00,35,False,181,True,1569,NaN
40,1999-06-22 18:25:00,1999-06-22 18:25:00,3000,2000,N22E37,8592,M1.7,1999-06-22 18:54:00,NA,True,360,False,1133,NaN
41,1999-06-23 05:50:00,1999-06-23 05:50:00,12000,2000,NaN,NaN,NaN,1999-06-23 06:06:00,264,False,154,True,450,NaN
42,1999-06-23 07:07:00,1999-06-23 07:07:00,14000,2000,N23E42,8596,M1.7,1999-06-23 07:31:00,NA,True,360,False,1006,uncertain
43,1999-06-28 21:03:00,1999-06-28 21:03:00,3500,1500,N22W44,8592,C3.5,1999-06-28 21:30:00,336,False,184,True,903,NaN
44,1999-06-29 19:20:00,1999-06-29 19:20:00,14000,2000,S14E01,8603,M1.6,1999-06-29 19:54:00,NA,True,360,False,560,NaN
45,1999-07-05 03:10:00,1999-07-05 03:10:00,2000,1000,SW90b,8603,C7.6,1999-07-05 02:54:00,284,False,190,False,670,NaN
46,1999-08-28 18:25:00,1999-08-28 18:25:00,16000,12000,S26W14,8674,X1.1,1999-08-28 18:26:00,120,False,245,False,462,NaN
47,1999-09-03 03:00:00,1999-09-03 03:00:00,2000,1000,S36W24,8679,C2.1,1999-09-03 00:06:00,184,False,175,False,512,NaN
48,1999-09-10 07:30:00,1999-09-10 07:30:00,5500,2000,NW90b,NaN,NaN,1999-09-10 07:54:00,18,False,125,False,1467,NaN
49,1999-10-14 09:10:00,1999-10-14 09:10:00,14000,4000,N11E32,8731,X1.8,1999-10-14 09:26:00,NA,True,360,False,1250,NaN
50,1999-10-17 23:27:00,1999-10-17 23:27:00,11500,10000,N03E38,NaN,NaN,1999-10-18 00:06:00,40,False,87,False,247,NaN
51,1999-11-16 03:27:00,1999-11-16 03:27:00,7000,4000,N17E38,8766,M3.8,1999-11-16 03:06:00,81,False,98,False,636,NaN
52,1999-11-16 05:17:00,1999-11-16 05:17:00,14000,7000,N08W39,8759,M1.8,1999-11-16 05:30:00,285,False,129,False,712,NaN
53,2000-01-18 17:31:00,2000-01-18 17:31:00,14000,500,S19E11,8831,M3.9,2000-01-18 17:54:00,NA,True,360,False,739,NaN
54,2000-01-28 20:20:00,2000-01-28 20:20:00,2200,1100,S31W17,8841,C4.7,2000-01-28 20:12:00,NA,True,360,False,1177,NaN
55,2000-02-05 19:34:00,2000-02-05 19:34:00,5800,2900,N26E52,8858,X1.2,2000-02-05 19:54:00,60,False,76,False,632,NaN
56,2000-02-08 09:05:00,2000-02-08 09:05:00,12000,20,N25E26,8858,M1.3,2000-02-08 09:30:00,NA,True,360,False,1079,NaN
57,2000-02-10 01:55:00,2000-02-10 01:55:00,14000,8000,N31E04,8858,C7.3,2000-02-10 02:30:00,NA,True,360,False,944,NaN
58,2000-02-12 03:55:00,2000-02-12 03:55:00,4000,400,N26W23,8858,M1.7,2000-02-12 04:31:00,NA,True,360,False,1107,NaN
59,2000-02-17 20:42:00,2000-02-17 20:42:00,14000,100,S29E07,8872,M1.3,2000-02-17 21:30:00,NA,True,360,False,728,NaN
60,2000-02-18 09:44:00,2000-02-18 09:44:00,2000,1200,NW90b,NaN,C1.1,2000-02-18 09:54:00,286,False,118,False,890,NaN
61,2000-03-02 13:50:00,2000-03-02 13:50:00,14000,6000,S20W58,8882,M6.5,2000-03-02 13:54:00,235,False,76,False,835,NaN
62,2000-03-07 16:24:00,2000-03-07 16:24:00,14000,4500,S22E77,8906,M1.2,2000-03-07 16:30:00,120,False,108,False,644,NaN
63,2000-03-27 06:56:00,2000-03-27 06:56:00,14000,10000,S00E90,8932,C2.3,2000-03-27 07:31:00,129,False,90,False,487,NaN
64,2000-04-04 15:45:00,2000-04-04 15:45:00,14000,9000,N16W66,8933,C9.7,2000-04-04 16:32:00,NA,True,360,False,1188,NaN
65,2000-04-09 23:15:00,2000-04-09 23:15:00,4500,1000,S14W01,8948,M3.1,2000-04-10 00:30:00,NA,True,360,False,409,NaN
66,2000-04-18 15:00:00,2000-04-18 15:00:00,14000,6000,S50W30,altr,FILA,2000-04-18 14:54:00,195,False,105,False,668,NaN
67,2000-05-04 11:10:00,2000-05-04 11:10:00,6500,1000,S17W87,8970,M6.8,2000-05-04 11:26:00,235,False,170,True,1404,NaN
68,2000-05-05 16:35:00,2000-05-05 16:35:00,14000,2500,S17W87,8970,M1.5,2000-05-05 15:50:00,NA,True,360,False,1594,NaN
69,2000-05-07 21:15:00,2000-05-07 21:15:00,14000,500,W90b,NaN,NaN,2000-05-07 20:50:00,NA,True,360,False,1781,NaN
70,2000-05-12 23:34:00,2000-05-12 23:34:00,14000,7000,E90b,NaN,NaN,2000-05-12 23:26:00,NA,True,360,False,2604,NaN
71,2000-05-15 16:47:00,2000-05-15 16:47:00,4800,40,S24W67,8993,C7.8,2000-05-15 16:26:00,257,False,165,True,1212,NaN
72,2000-06-02 22:00:00,2000-06-02 22:00:00,14000,8000,N16E60,9026,M7.6,2000-06-02 21:30:00,69,False,104,False,547,NaN
73,2000-06-06 15:20:00,2000-06-06 15:20:00,14000,40,N20E18,9026,X2.3,2000-06-06 15:54:00,NA,True,360,False,1119,NaN
74,2000-06-10 17:15:00,2000-06-10 17:15:00,10000,1000,N22W38,9026,M5.2,2000-06-10 17:08:00,NA,True,360,False,1108,NaN
75,2000-06-15 19:52:00,2000-06-15 19:52:00,5000,2500,N20W65,9041,M1.8,2000-06-15 20:06:00,298,False,116,False,1081,NaN
76,2000-06-17 03:00:00,2000-06-17 03:00:00,14000,1000,N22W72,9041,M3.5,2000-06-17 03:28:00,298,False,133,False,857,NaN
77,2000-06-19 01:19:00,2000-06-19 01:19:00,3800,1900,N42E60,NaN,NaN,2000-06-18 21:30:00,8,False,49,False,459,This may not be a type II.
78,2000-06-23 14:40:00,2000-06-23 14:40:00,14000,2000,N26W72,9042,M3.0,2000-06-23 14:54:00,282,False,198,True,847,NaN
79,2000-06-25 08:10:00,2000-06-25 08:10:00,12000,2500,N16W55,9046,M1.9,2000-06-25 07:54:00,262,False,165,False,1617,NaN
80,2000-07-10 22:00:00,2000-07-10 22:00:00,14000,1000,N18E49,9077,M5.7,2000-07-10 21:50:00,67,False,289,True,1352,NaN
81,2000-07-11 13:00:00,2000-07-11 13:00:00,12000,1000,N18E27,9077,X1.0,2000-07-11 13:27:00,NA,True,360,False,1078,NaN
82,2000-07-12 20:05:00,2000-07-12 20:05:00,6000,1000,N19W61,9070,M1.5,2000-07-12 20:30:00,281,False,101,False,820,NaN
83,2000-07-14 10:30:00,2000-07-14 10:30:00,14000,80,N22W07,9077,X5.7,2000-07-14 10:54:00,NA,True,360,False,1674,NaN
84,2000-07-22 11:45:00,2000-07-22 11:45:00,14000,2000,N14W56,9085,M3.7,2000-07-22 11:54:00,259,False,229,True,1230,NaN
85,2000-08-11 11:35:00,2000-08-11 11:35:00,2800,2000,NW90b,NaN,NaN,2000-08-11 07:31:00,273,False,70,False,1071,uncertain
86,2000-09-12 12:00:00,2000-09-12 12:00:00,14000,60,S19W06,DSF,M1.0,2000-09-12 11:54:00,NA,True,360,False,1550,NaN
87,2000-09-12 18:15:00,2000-09-12 18:15:00,2000,1000,NE90b,NaN,NaN,2000-09-12 17:30:00,NA,True,360,False,1053,NaN
88,2000-09-16 04:30:00,2000-09-16 04:30:00,14000,400,N14W07,9165,M5.9,2000-09-16 05:18:00,NA,True,360,False,1215,NaN
89,2000-09-19 08:45:00,2000-09-19 08:45:00,12000,1500,N14W46,9165,M5.1,2000-09-19 08:50:00,283,False,76,False,766,NaN
90,2000-09-25 02:20:00,2000-09-25 02:20:00,14000,1000,N09W18,9169,M1.8,2000-09-25 02:50:00,NA,True,360,False,587,NaN
91,2000-10-05 22:10:00,2000-10-05 22:10:00,5000,1250,N25W90,9177,NaN,2000-10-05 18:26:00,323,False,86,False,1046,This may not be a type II.
92,2000-10-16 07:10:00,2000-10-16 07:10:00,14000,1000,N03W90,9182,M2.5,2000-10-16 07:27:00,NA,True,360,False,1336,NaN
93,2000-10-25 09:30:00,2000-10-25 09:30:00,10000,300,N09W63,9199,C4.0,2000-10-25 08:26:00,NA,True,360,False,770,NaN
94,2000-11-03 18:35:00,2000-11-03 18:35:00,4000,2500,N02W02,9213,C3.2,2000-11-03 18:26:00,NA,True,360,False,291,NaN
95,2000-11-08 23:20:00,2000-11-08 23:20:00,4000,200,N10W77,9213,M7.4,2000-11-08 23:06:00,271,False,170,True,1738,NaN
96,2000-11-09 16:15:00,2000-11-09 16:15:00,10000,40,S11E10,9221,M1.0,,NaN,False,NaN,False,NaN,CME_not_measurable_due_to_the_Snow_Storm
97,2000-11-12 14:25:00,2000-11-12 14:25:00,3000,2000,S14E05,9227,C4.4,2000-11-12 14:50:00,257,False,50,False,581,NaN
98,2000-11-23 08:16:00,2000-11-23 08:16:00,14000,9000,S26W40,9238,C5.4,2000-11-23 06:06:00,NA,True,360,False,492,NaN
99,2000-11-23 21:00:00,2000-11-23 21:00:00,3500,3000,S20E60,9239,C7.9,2000-11-23 21:30:00,124,False,148,False,1198,NaN
100,2000-11-24 05:10:00,2000-11-24 05:10:00,14000,100,N20W05,9236,X2.0,2000-11-24 05:30:00,NA,True,360,False,1289,NaN
101,2000-11-24 15:25:00,2000-11-24 15:25:00,14000,200,N22W07,9236,X2.3,2000-11-24 15:30:00,NA,True,360,False,1245,NaN
102,2000-11-24 22:24:00,2000-11-24 22:24:00,4000,3000,N21W14,9236,X1.8,2000-11-24 22:06:00,NA,True,360,False,1005,NaN
103,2000-11-25 01:25:00,2000-11-25 01:25:00,14000,3000,N07E50,9240,M8.2,2000-11-25 01:31:00,NA,True,360,False,2519,NaN
104,2000-11-25 19:00:00,2000-11-25 19:00:00,6000,2000,N20W23,9236,X1.9,2000-11-25 19:31:00,NA,True,360,False,671,NaN
105,2000-11-25 19:55:00,2000-11-25 19:55:00,13000,4000,N20W27,9236,NaN,2000-11-25 21:30:00,345,False,59,False,388,NaN
106,2000-11-26 17:00:00,2000-11-26 17:00:00,14000,7000,N18W38,9236,X4.0,2000-11-26 17:06:00,NA,True,360,False,980,NaN
107,2000-12-28 12:40:00,2000-12-28 12:40:00,14000,1900,NaN,NaN,NaN,2000-12-28 12:06:00,NA,True,360,False,930,NaN
108,2001-01-20 19:12:00,2001-01-20 19:12:00,14000,6000,S07E40,9313,M1.2,2001-01-20 19:31:00,NA,True,360,False,839,NaN
109,2001-01-20 21:30:00,2001-01-20 21:30:00,14000,500,S07E46,9313,M7.7,2001-01-20 21:30:00,NA,True,360,False,1507,NaN
110,2001-01-26 12:06:00,2001-01-26 12:06:00,14000,400,S23W57,9320,C1.6,2001-01-26 12:06:00,276,False,176,False,928,NaN
111,2001-01-28 15:45:00,2001-01-28 15:45:00,14000,200,S04W59,9313,M1.5,2001-01-28 15:54:00,NA,True,360,False,916,NaN
112,2001-02-11 01:40:00,2001-02-11 01:40:00,12000,5500,N24W57,9346,C6.5,2001-02-11 01:31:00,NA,True,360,False,1183,NaN
113,2001-03-10 04:18:00,2001-03-10 04:18:00,14000,4000,N27W42,9368,M6.7,2001-03-10 04:26:00,297,False,81,False,819,NaN
114,2001-03-12 05:35:00,2001-03-12 05:35:00,3000,1500,NaN,NaN,NaN,2001-03-12 05:50:00,233,False,48,False,829,NaN
115,2001-03-27 02:35:00,2001-03-27 02:35:00,6000,1000,N14E17,9393,C7.3,2001-03-27 02:06:00,154,False,60,False,300,NaN
116,2001-03-27 15:00:00,2001-03-27 15:00:00,4000,1500,N15E14,9393,C5.6,2001-03-27 17:06:00,46,False,66,False,340,NaN
117,2001-03-29 10:12:00,2001-03-29 10:12:00,4000,60,N20W19,9393,X1.7,2001-03-29 10:26:00,NA,True,360,False,942,NaN
118,2001-04-02 11:30:00,2001-04-02 11:30:00,14000,5000,N20W70,9393,X1.1,2001-04-02 11:26:00,270,False,80,False,992,NaN
119,2001-04-02 22:05:00,2001-04-02 22:05:00,14000,250,N19W72,9393,X20.,2001-04-02 22:06:00,261,False,244,False,2505,NaN
120,2001-04-03 03:40:00,2001-04-03 03:40:00,14000,400,S21E83,9415,X1.2,2001-04-03 03:26:00,108,False,292,False,1613,NaN
121,2001-04-04 09:50:00,2001-04-04 09:50:00,13000,3000,S21E68,9415,M1.6,2001-04-04 09:50:00,86,False,89,False,1065,NaN
122,2001-04-05 00:00:00,2001-04-05 00:00:00,14000,7500,N14W85,9393,M8.4,2001-04-05 09:06:00,283,False,205,False,1750,uncertain
123,2001-04-06 19:35:00,2001-04-06 19:35:00,14000,230,S21E31,9415,X5.6,2001-04-06 19:30:00,NA,True,360,False,1270,"Double type II, CME-CME interaction?"
124,2001-04-09 15:53:00,2001-04-09 15:53:00,12000,100,S21W04,9415,M7.9,2001-04-09 15:54:00,NA,True,360,False,1192,NaN
125,2001-04-10 05:24:00,2001-04-10 05:24:00,14000,100,S23W09,9415,X2.3,2001-04-10 05:30:00,NA,True,360,False,2411,NaN
126,2001-04-11 13:15:00,2001-04-11 13:15:00,14000,1500,S22W27,9415,M2.3,2001-04-11 13:31:00,NA,True,360,False,1103,NaN
127,2001-04-12 10:20:00,2001-04-12 10:20:00,14000,7000,S19W43,9415,X2.0,2001-04-12 10:31:00,NA,True,360,False,1184,NaN
128,2001-04-15 14:05:00,2001-04-15 14:05:00,14000,40,S20W85,9415,X14.,2001-04-15 14:06:00,245,False,167,False,1199,NaN
129,2001-04-18 02:55:00,2001-04-18 02:55:00,1000,100,SW90b,NaN,C2.2,2001-04-18 02:30:00,NA,True,360,False,2465,NaN
130,2001-04-26 12:40:00,2001-04-26 12:40:00,5000,20,N20W05,9433,M1.5,2001-04-26 12:30:00,NA,True,360,False,1006,NaN
131,2001-05-07 12:00:00,2001-05-07 12:00:00,2000,280,NW90b,NaN,NaN,2001-05-07 12:06:00,286,False,205,False,1223,NaN
132,2001-05-12 23:52:00,2001-05-12 23:52:00,3000,1000,S17E00,9455,M3.0,2001-05-13 02:21:00,190,False,132,False,527,NaN
133,2001-05-30 00:25:00,2001-05-30 00:25:00,14000,1000,E90b,9481,NaN,2001-05-30 00:06:00,70,False,216,False,2087,NaN
134,2001-06-15 10:50:00,2001-06-15 10:50:00,7000,3000,S26E41,9502,M6.3,2001-06-15 10:31:00,185,False,119,False,1090,NaN
135,2001-06-15 16:05:00,2001-06-15 16:05:00,14000,3500,W90b,NaN,NaN,2001-06-15 15:56:00,NA,True,360,False,1701,NaN
136,2001-08-16 00:10:00,2001-08-16 00:10:00,5400,200,NaN,NaN,NaN,2001-08-15 23:54:00,NA,True,360,False,1575,NaN
137,2001-08-25 16:50:00,2001-08-25 16:50:00,8000,170,S17E34,9591,X5.3,2001-08-25 16:50:00,NA,True,360,False,1433,NaN
138,2001-08-30 20:43:00,2001-08-30 20:43:00,12000,10000,N15E44,9601,M3.0,2001-08-30 21:26:00,82,False,76,False,351,NaN
139,2001-09-03 18:48:00,2001-09-03 18:48:00,12000,7500,S23E90,9607,M2.5,2001-09-03 18:35:00,127,False,207,False,1352,NaN
140,2001-09-15 11:50:00,2001-09-15 11:50:00,14000,6000,S21W49,9608,M1.5,2001-09-15 11:54:00,263,False,130,False,478,NaN
141,2001-09-16 13:50:00,2001-09-16 13:50:00,3000,2000,S13E15,9616,C8.9,2001-09-16 14:30:00,131,False,68,False,584,NaN
142,2001-09-17 08:35:00,2001-09-17 08:35:00,14000,5400,S14E04,9616,M1.5,2001-09-17 08:54:00,198,False,166,False,1009,NaN
143,2001-09-20 18:43:00,2001-09-20 18:43:00,14000,10000,N09W11,9631,M1.5,2001-09-20 19:31:00,306,False,207,False,446,NaN
144,2001-09-24 10:45:00,2001-09-24 10:45:00,7000,30,S16E23,9632,X2.6,2001-09-24 10:30:00,NA,True,360,False,2402,NaN
145,2001-09-27 08:15:00,2001-09-27 08:15:00,4000,80,S15W40,EP,C9.5,2001-09-27 08:06:00,224,False,138,False,669,NaN
146,2001-10-01 07:00:00,2001-10-01 07:00:00,1000,150,S24W81,9628,M9.1,2001-10-01 05:30:00,NA,True,360,False,1405,NaN
147,2001-10-05 11:35:00,2001-10-05 11:35:00,1400,500,SW90b,NaN,NaN,2001-10-05 10:30:00,NA,True,360,False,1537,NaN
148,2001-10-09 11:15:00,2001-10-09 11:15:00,8000,200,S28E08,9653,M1.4,2001-10-09 11:30:00,NA,True,360,False,973,NaN
149,2001-10-09 11:20:00,2001-10-09 11:20:00,14000,2000,S28E08,9653,NaN,,NaN,False,NaN,False,NaN,NaN
150,2001-10-09 13:10:00,2001-10-09 13:10:00,5000,50,NaN,NaN,NaN,,NaN,False,NaN,False,NaN,Possible_HALO
151,2001-10-19 01:15:00,2001-10-19 01:15:00,14000,1300,N16W18,9661,X1.6,2001-10-19 01:27:00,NA,True,360,False,558,NaN
152,2001-10-19 16:45:00,2001-10-19 16:45:00,14000,30,N15W29,9661,X1.6,2001-10-19 16:50:00,NA,True,360,False,901,NaN
153,2001-10-22 15:15:00,2001-10-22 15:15:00,8000,1200,S21E18,9672,M6.7,2001-10-22 15:06:00,NA,True,360,False,1336,NaN
154,2001-10-25 15:30:00,2001-10-25 15:30:00,14000,30,S16W21,9672,X1.3,2001-10-25 15:26:00,NA,True,360,False,1092,NaN
155,2001-11-04 16:30:00,2001-11-04 16:30:00,14000,70,N06W18,9684,X1.0,2001-11-04 16:35:00,NA,True,360,False,1810,NaN
156,2001-11-17 05:35:00,2001-11-17 05:35:00,11000,1700,S13E42,9704,M2.8,2001-11-17 05:30:00,NA,True,360,False,1379,uncertain
157,2001-11-22 20:50:00,2001-11-22 20:50:00,8000,1000,S25W67,9698,M3.8,2001-11-22 20:30:00,NA,True,360,False,1443,NaN
158,2001-11-22 22:40:00,2001-11-22 22:40:00,14000,40,S17W36,9704,M9.9,2001-11-22 23:30:00,NA,True,360,False,1437,NaN
